Id,Name,Description
1,?,
2,audio/*,
3,application/prs.paqu-metadata,
4,application/dc+xml,
5,application/marcxml+xml,
6,application/vnd.ms-excel,
7,application/vnd.ddi+xml;version=3.2,
8,text/html,
9,text/x-eaf+xml,
10,text/csv,
11,text/praat-textgrid,
12,text/x-chat,
13,application/tei+xml,
14,video/*,
15,image/gif,
16,image/jpeg,
17,Image/tiff,
18,application/vnd.ead3+xml,
19,application/vnd.ddi+xml;version=2.5,
20,text/xml,
21,application/marcxml+xm,
22,application/vnd.ddi+xml;version=1.2.2,
23,application/vnd.datacite.datacite+xml;version=2.2,
24,application/pdf,
25,application/folia+xml,
26,text/plain,
27,application/x-spss-sav,
28,application/x-stata,
29,plain/text,
30,application/x-sas-data,
31,application/mathematica,
32,application/vnd.openxmlformats-officedocument.wordprocessingml.documen,
33,application/vnd.ms-word,
34,application/vnd.ddi+xml,
35,appication/vnd.sta,
36,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
37,application/x-latex,
38,application/epub+zip,
39,application/rtf,
40,application/rdf+xml,
41,application/tcf+xml,
42,text/vnd.hocr+html,
43,text/tab-separated-values,
44,application/alto+xml,
